"","bcw_id","Genus","PO4","Group"
"206","BCW-200533","Rhodococcus",457.0552147,"DSN"
"207","BCW-201884","Enterobacter",434.5603272,"DSN"
"208","BCW-200097","Acinetobacter",415.132924333333,"DSN"
"209","BCW-200464","Agrobacterium",413.4088763,"DSN"
"210","BCW-201854","Erwinia",400.8179959,"DSN"
"211","BCW-200079","unassigned",364.008179933333,"DSN"
"212","BCW-200159","Lactococcus",329.437229433333,"DSN"
"213","BCW-200208","Agrobacterium",320.238095233333,"DSN"
"214","BCW-200196","Lactococcus",310.497835466667,"DSN"
"215","BCW-201889","Enterobacter",298.568507166667,"DSN"
"216","BCW-200063","unassigned",292.433537833333,"DSN"
"217","BCW-201891","unassigned",248.639455766667,"DSN"
"218","BCW-200057","Microbacterium",245.616024166667,"DSN"
"219","BCW-200705","Agrobacterium",238.0574452,"DSN"
"220","BCW-200077","Lactococcus",226.7195767,"DSN"
"221","BCW-200051","Lactococcus",222.5623583,"DSN"
"222","BCW-200192","Lactococcus",176.2987013,"DSN"
"223","BCW-201896","Curtobacterium",151.5117158,"DSN"
"224","BCW-200175","Lactococcus",149.7835498,"DSN"
"225","BCW-200215","Agrobacterium",136.7965368,"DSN"
"226","BCW-200912","unassigned",115.230536666667,"DSN"
"227","BCW-201835","Staphylococcus",63.8321995333333,"DSN"
"228","BCW-200143","Rahnella",NA,"DSN"
"229","BCW-200144","Rahnella",NA,"DSN"
"230","BCW-200145","Rahnella",NA,"DSN"
"231","BCW-200564","Rahnella",NA,"DSN"
"232","BCW-200990","Lelliottia",NA,"DSN"
"233","BCW-202001","Pantoea",NA,"DSN"
