"","bcw_id","Genus","PO4","Group"
"151","BCW-200662","Klebsiella",701.431492866667,"DSP"
"152","BCW-200095","Enterobacter",698.364008166667,"DSP"
"153","BCW-200665","Raoultella",695.2965235,"DSP"
"154","BCW-201615","Raoultella",687.116564433333,"DSP"
"155","BCW-200821","Rahnella",687.1165644,"DSP"
"156","BCW-200016","Enterobacter",685.071574666667,"DSP"
"157","BCW-200206","Enterobacter",683.7270341,"DSP"
"158","BCW-201078","Raoultella",677.914110433333,"DSP"
"159","BCW-200882","Raoultella",675.869120666667,"DSP"
"160","BCW-200197","Kosakonia",674.5406824,"DSP"
"161","BCW-201088","Rahnella",672.801636,"DSP"
"162","BCW-200660","Klebsiella",671.779141133333,"DSP"
"163","BCW-201155","Metakosakonia",670.2549575,"DSP"
"164","BCW-200847","Raoultella",665.644171766667,"DSP"
"165","BCW-200887","Raoultella",652.351738266667,"DSP"
"166","BCW-200620","Raoultella",650.3067485,"DSP"
"167","BCW-200488","Raoultella",644.171779133333,"DSP"
"168","BCW-200667","Enterobacter",641.1042945,"DSP"
"169","BCW-201058","Metakosakonia",639.093484433333,"DSP"
"170","BCW-200017","Enterobacter",623.7218814,"DSP"
"171","BCW-200035","Enterobacter",615.541922266667,"DSP"
"172","BCW-200276","Raoultella",607.932011366667,"DSP"
"173","BCW-201972","Metakosakonia",600.204499,"DSP"
"174","BCW-201097","unassigned",593.047034766667,"DSP"
"175","BCW-201620","Raoultella",587.157695933333,"DSP"
"176","BCW-201828","Metakosakonia",582.8220859,"DSP"
"177","BCW-200165","Raoultella",559.055118,"DSP"
"178","BCW-201020","Klebsiella",558.2822086,"DSP"
"179","BCW-200656","Metakosakonia",550.1022495,"DSP"
"180","BCW-200798","Rahnella",548.057259733333,"DSP"
"181","BCW-201926","Raoultella",541.9222904,"DSP"
"182","BCW-200661","Raoultella",540.8997955,"DSP"
"183","BCW-201937","Metakosakonia",528.629856833333,"DSP"
"184","BCW-201876","Metakosakonia",519.427402866667,"DSP"
"185","BCW-201873","Metakosakonia",512.269938633333,"DSP"
"186","BCW-201990","Metakosakonia",507.1574642,"DSP"
"187","BCW-201887","Metakosakonia",480.572597133333,"DSP"
"188","BCW-201888","Metakosakonia",480.572597133333,"DSP"
"189","BCW-201879","Metakosakonia",448.8752556,"DSP"
"190","BCW-201808","Metakosakonia",444.785276066667,"DSP"
"191","BCW-201290","Pseudomonas",391.6155419,"DSP"
"192","BCW-200644","Rahnella",NA,"DSP"
"193","BCW-201259","Rahnella",NA,"DSP"
