"","bcw_id","Genus","ACC","NIF_Group"
"151","BCW-201263","Klebsiella",1.92153284671533,"DSP"
"152","BCW-201703","Klebsiella",1.91107382550336,"DSP"
"153","BCW-200880","unassigned",1.86764705882353,"DSP"
"154","BCW-200225","unassigned",1.8527397260274,"DSP"
"155","BCW-200647","Rahnella",1.83161512027491,"DSP"
"156","BCW-201937","unassigned",1.82711198428291,"DSP"
"157","BCW-200221","unassigned",1.80968858131488,"DSP"
"158","BCW-201091","Rahnella",1.80538922155689,"DSP"
"159","BCW-200440","unassigned",1.7847866419295,"DSP"
"160","BCW-201886","unassigned",1.77083333333333,"DSP"
"161","BCW-200879","unassigned",1.75849731663685,"DSP"
"162","BCW-201873","unassigned",1.70468431771894,"DSP"
"163","BCW-200496","unassigned",1.70388349514563,"DSP"
"164","BCW-201888","unassigned",1.69187145557656,"DSP"
"165","BCW-201990","unassigned",1.69051580698835,"DSP"
"166","BCW-200181","Kosakonia",1.66666666666667,"DSP"
"167","BCW-201858","unassigned",1.65107913669065,"DSP"
"168","BCW-200307","unassigned",1.64501160092807,"DSP"
"169","BCW-201649","Raoultella",1.59529411764706,"DSP"
"170","BCW-201098","Klebsiella",1.5933734939759,"DSP"
"171","BCW-200600","Raoultella",1.58097165991903,"DSP"
"172","BCW-200667","Enterobacter",1.57017543859649,"DSP"
"173","BCW-200552","Rahnella",1.56811594202899,"DSP"
"174","BCW-201297","Rahnella",1.53743315508021,"DSP"
"175","BCW-200885","unassigned",1.5132382892057,"DSP"
"176","BCW-200030","Raoultella",1.48535564853556,"DSP"
"177","BCW-201876","unassigned",1.46688206785137,"DSP"
"178","BCW-201879","unassigned",1.45317725752508,"DSP"
"179","BCW-201184","Rahnella",1.45054945054945,"DSP"
"180","BCW-201900","Raoultella",1.43710691823899,"DSP"
"181","BCW-200567","unassigned",1.35384615384615,"DSP"
"182","BCW-200521","Raoultella",1.33850931677019,"DSP"
"183","BCW-200704","Klebsiella",1.33417085427136,"DSP"
"184","BCW-201887","unassigned",1.31103678929766,"DSP"
"185","BCW-200449","unassigned",1.17484008528785,"DSP"
"186","BCW-201155","unassigned",1.1541755888651,"DSP"
"187","BCW-201290","Pseudomonas",1.05095541401274,"DSP"
"188","BCW-201659","Enterobacter",1.03926701570681,"DSP"
"189","BCW-201901","unassigned",0.930555555555556,"DSP"
"190","BCW-200028","unassigned",0.843023255813953,"DSP"
"191","BCW-200578","Rahnella",0.798823529411765,"DSP"
"192","BCW-200644","Rahnella",NA,"DSP"
"193","BCW-201259","Rahnella",NA,"DSP"
