"","bcw_id","Genus","IAA","NIF_Group"
"222","BCW-200196","Lactococcus",-0.106995885,"DSN"
"223","BCW-200158","Lactococcus",-0.765432098666667,"DSN"
"224","BCW-200079","unassigned",-3.76954732533333,"DSN"
"225","BCW-200057","Microbacterium",-3.89300411533333,"DSN"
"226","BCW-200077","Lactococcus",-4.05761316866667,"DSN"
"227","BCW-200180","Lactococcus",-4.13991769533333,"DSN"
"228","BCW-200143","unassigned",NA,"DSN"
"229","BCW-200144","unassigned",NA,"DSN"
"230","BCW-200145","unassigned",NA,"DSN"
"231","BCW-200564","Rahnella",NA,"DSN"
"232","BCW-200990","unassigned",NA,"DSN"
"233","BCW-202001","unassigned",NA,"DSN"
