"","bcw_id","Genus","ACC","NIF_Group"
"107","BCW-201025","Rahnella",1.61538461538462,"DSN"
"108","BCW-200238","Lactococcus",1.61461794019934,"DSN"
"109","BCW-200542","unassigned",1.5822454308094,"DSN"
"110","BCW-200188","Lactococcus",1.55985915492958,"DSN"
"111","BCW-200061","Serratia",1.55772357723577,"DSN"
"112","BCW-201861","Lactococcus",1.54225352112676,"DSN"
"113","BCW-201866","Enterobacter",1.53211009174312,"DSN"
"114","BCW-200040","unassigned",1.50112866817156,"DSN"
"115","BCW-201880","Enterobacter",1.49511400651466,"DSN"
"116","BCW-200174","Lactococcus",1.47955390334573,"DSN"
"117","BCW-201848","Pantoea",1.47133757961783,"DSN"
"118","BCW-200157","unassigned",1.46825396825397,"DSN"
"119","BCW-201008","Rahnella",1.45826235093697,"DSN"
"120","BCW-201842","Curtobacterium",1.42532467532468,"DSN"
"121","BCW-201236","Hafnia",1.42105263157895,"DSN"
"122","BCW-200149","unassigned",1.41990291262136,"DSN"
"123","BCW-201884","Enterobacter",1.41785714285714,"DSN"
"124","BCW-201152","Citrobacter",1.41666666666667,"DSN"
"125","BCW-200192","Lactococcus",1.38811188811189,"DSN"
"126","BCW-200111","Citrobacter",1.38736842105263,"DSN"
"127","BCW-200015","Enterobacter",1.37526652452026,"DSN"
"128","BCW-200270","unassigned",1.3631669535284,"DSN"
"129","BCW-200725","Rahnella",1.35381355932203,"DSN"
"130","BCW-201014","Rahnella",1.34638554216867,"DSN"
"131","BCW-201185","Serratia",1.34626865671642,"DSN"
"132","BCW-200196","Lactococcus",1.33935018050542,"DSN"
"133","BCW-200723","Rahnella",1.33799533799534,"DSN"
"134","BCW-201814","Enterobacter",1.33484162895928,"DSN"
"135","BCW-201897","Pantoea",1.3344262295082,"DSN"
"136","BCW-200003","unassigned",1.3289224952741,"DSN"
"137","BCW-201867","Pantoea",1.32745961820852,"DSN"
"138","BCW-201899","Enterobacter",1.32172470978441,"DSN"
"139","BCW-200547","Serratia",1.32134292565947,"DSN"
"140","BCW-200198","Lactococcus",1.31756756756757,"DSN"
"141","BCW-200232","Lactococcus",1.31186440677966,"DSN"
"142","BCW-201173","unassigned",1.30211480362538,"DSN"
"143","BCW-200009","Enterobacter",1.26890756302521,"DSN"
"144","BCW-200902","Agrobacterium",1.26324786324786,"DSN"
"145","BCW-200051","Lactococcus",1.26,"DSN"
"146","BCW-200718","Rahnella",1.2578125,"DSN"
"147","BCW-201151","unassigned",1.25055928411633,"DSN"
"148","BCW-201833","unassigned",1.24761904761905,"DSN"
"149","BCW-200715","Rahnella",1.24438902743142,"DSN"
"150","BCW-200642","Rahnella",1.24411764705882,"DSN"
"151","BCW-200213","unassigned",1.24330357142857,"DSN"
"152","BCW-201175","Rahnella",1.24269005847953,"DSN"
"153","BCW-201176","Rahnella",1.22955974842767,"DSN"
"154","BCW-200810","unassigned",1.22439024390244,"DSN"
"155","BCW-201083","Citrobacter",1.22361809045226,"DSN"
"156","BCW-200077","Lactococcus",1.22333333333333,"DSN"
"157","BCW-200539","Citrobacter",1.21943573667712,"DSN"
"158","BCW-200057","Microbacterium",1.21913580246914,"DSN"
"159","BCW-200097","Acinetobacter",1.21875,"DSN"
"160","BCW-201245","unassigned",1.20891364902507,"DSN"
"161","BCW-200275","unassigned",1.2,"DSN"
"162","BCW-200079","unassigned",1.1786941580756,"DSN"
"163","BCW-200219","Enterobacter",1.1763698630137,"DSN"
"164","BCW-200104","Enterobacter",1.17088607594937,"DSN"
"165","BCW-201654","Rahnella",1.16332378223496,"DSN"
"166","BCW-201945","Enterobacter",1.16155419222904,"DSN"
"167","BCW-200060","unassigned",1.16094032549729,"DSN"
"168","BCW-201653","Serratia",1.16071428571429,"DSN"
"169","BCW-200218","Enterobacter",1.16006600660066,"DSN"
"170","BCW-200012","Enterobacter",1.15221238938053,"DSN"
"171","BCW-201883","unassigned",1.14392523364486,"DSN"
"172","BCW-200107","Enterobacter",1.13729508196721,"DSN"
"173","BCW-200724","Rahnella",1.13719512195122,"DSN"
"174","BCW-201832","Enterobacter",1.1324200913242,"DSN"
"175","BCW-200705","Agrobacterium",1.12614980289093,"DSN"
"176","BCW-200663","Agrobacterium",1.12432432432432,"DSN"
"177","BCW-201827","Pantoea",1.11337209302326,"DSN"
"178","BCW-201084","unassigned",1.1129476584022,"DSN"
"179","BCW-201445","unassigned",1.10596026490066,"DSN"
"180","BCW-201878","Enterobacter",1.1046511627907,"DSN"
"181","BCW-200013","Enterobacter",1.10338983050847,"DSN"
"182","BCW-201933","Enterobacter",1.0974025974026,"DSN"
"183","BCW-201853","unassigned",1.09348441926346,"DSN"
"184","BCW-201895","Enterobacter",1.09090909090909,"DSN"
"185","BCW-200269","unassigned",1.08064516129032,"DSN"
"186","BCW-200047","Enterobacter",1.07680250783699,"DSN"
"187","BCW-200043","Enterobacter",1.07664233576642,"DSN"
"188","BCW-201845","unassigned",1.0639175257732,"DSN"
"189","BCW-200556","unassigned",1.06089743589744,"DSN"
"190","BCW-200023","Enterobacter",1.05813953488372,"DSN"
"191","BCW-200814","Rahnella",1.05571847507331,"DSN"
"192","BCW-201882","Enterobacter",1.05555555555556,"DSN"
"193","BCW-200716","Rahnella",1.05352112676056,"DSN"
"194","BCW-200473","unassigned",1.04645476772616,"DSN"
"195","BCW-200066","unassigned",1.04366812227074,"DSN"
"196","BCW-201881","Enterobacter",1.03947368421053,"DSN"
"197","BCW-200029","Enterobacter",1.03710247349823,"DSN"
"198","BCW-201982","Rahnella",1.03488372093023,"DSN"
"199","BCW-200031","Citrobacter",1.03138075313808,"DSN"
"200","BCW-201007","unassigned",1.02994011976048,"DSN"
"201","BCW-200082","Enterobacter",1.02100840336134,"DSN"
