bcw_id,Genus,Group,ACC,BNF,IAA,PO4
BCW-200915,Raoultella,DSP,2.54,1,0.05,780.16
BCW-201890,Raoultella,DSP,2.61,1,13.23,776.07
BCW-200294,Raoultella,DSP,2.38,1,1.73,768.46
BCW-200446,Raoultella,DSP,2.72,1.1,10.81,767.89
BCW-200855,Raoultella,DSP,2.47,1.1,4.45,757.67
BCW-200553,Raoultella,DSP,2.37,1.1,17,738.24
BCW-201044,Raoultella,DSP,2.15,1,3,736.36
BCW-201107,Raoultella,DSP,2.58,1,17.48,736.36
BCW-200909,Raoultella,DSP,2.41,1,3.56,736.2
BCW-200879,Raoultella,DSP,1.76,1,9.19,734.15
BCW-200496,Raoultella,DSP,1.7,1.2,3.1,725.97
BCW-200881,Raoultella,DSP,2.56,1.1,0.69,719.84
BCW-201614,Raoultella,DSP,2.89,1,23.56,713.7
BCW-200499,Raoultella,DSP,2.52,1,23.74,709.61
BCW-200665,Raoultella,DSP,3.08,1.2,7.61,695.3
BCW-201615,Raoultella,DSP,2.56,1,1.73,687.12
BCW-201078,Raoultella,DSP,2.67,1,3.97,677.91
BCW-200882,Raoultella,DSP,2.79,1.2,3.38,675.87
BCW-200847,Raoultella,DSP,2.46,1.1,3.61,665.64
BCW-200887,Raoultella,DSP,2.71,1,0.56,652.35
BCW-200620,Raoultella,DSP,3,1.2,25.83,650.31
BCW-200488,Raoultella,DSP,3.12,1.3,1.5,644.17
BCW-200276,Raoultella,DSP,2.14,1,3.23,607.93
BCW-201620,Raoultella,DSP,3.23,1,11.07,587.16
BCW-200165,Raoultella,DSP,2.37,0.9,26.68,559.06
BCW-201926,Raoultella,DSP,3.16,1.2,31.55,541.92
BCW-200661,Raoultella,DSP,3.26,1.3,45.73,540.9
BCW-200182,unassigned,DSP,2.24,0.8,34.26,1463.25
BCW-200113,unassigned,DSP,2.26,1,61.74,1148.29
BCW-200234,unassigned,DSP,2.31,0.9,24.26,1099.74
BCW-200133,unassigned,DSP,2.09,0.8,17.09,1041.99
BCW-200195,unassigned,DSP,2.61,0.9,4.5,988.19
BCW-200148,unassigned,DSP,2.69,0.8,53.02,979
BCW-200200,unassigned,DSP,2.54,0.8,8.04,976.38
BCW-200156,unassigned,DSP,2.22,1,10.55,952.76
BCW-200225,unassigned,DSP,1.85,0.9,24.5,952.76
BCW-200199,unassigned,DSP,2.89,3.5,8.74,952.76
BCW-200201,unassigned,DSP,2.59,1,4.54,917.32
BCW-200236,unassigned,DSP,2.4,0.9,4.5,913.39
BCW-200237,unassigned,DSP,2.35,1,5.37,898.95
BCW-200221,unassigned,DSP,1.81,0.8,10.02,877.95
BCW-201267,unassigned,DSP,2.88,1,21.07,865.03
BCW-200184,unassigned,DSP,2.64,1,11.37,863.52
BCW-200028,unassigned,DSP,0.84,1,7.05,815.95
BCW-200235,unassigned,DSP,2.9,No Data,27.3,808.4
BCW-201097,unassigned,DSP,2.26,1.1,30.92,593.05
BCW-200011,Acidovorax,SDS,1.15,0.8,3.6,665.64
BCW-200001,Acidovorax,SDS,2.64,0.9,0.1,414.11
BCW-200112,Acinetobacter,SDS,3.14,0.8,33.19,1320.21
BCW-200100,Acinetobacter,SDS,2.28,0.8,7.79,1270.34
BCW-200119,Acinetobacter,SDS,2.33,0.8,10.26,988.19
BCW-200032,Acinetobacter,SDS,1.26,0.8,13.64,757.67
BCW-200105,Acinetobacter,SDS,2.86,0.9,8.86,738.85
BCW-200116,Acinetobacter,SDS,1.45,No Data,1.66,618.11
BCW-200118,Acinetobacter,SDS,3.08,0.9,-0.64,603.67
BCW-200008,Acinetobacter,SDS,2.88,1,28.82,553.17
BCW-200081,Acinetobacter,SDS,2.19,0.9,11.17,472.39
BCW-200044,Acinetobacter,SDS,2.02,1,4.71,469.33
BCW-200101,Bacillus,SDS,1.51,0.9,9.11,702.1
BCW-201819,Curtobacterium,SDS,2.11,1.2,1.04,949.9
BCW-200993,Herbaspirillum,SDS,1.33,1,1.88,890.27
BCW-200209,Leifsonia,SDS,1.15,1,2.57,872.7
BCW-200078,Micrococcus,SDS,0.99,0.8,4.13,800.61
BCW-200173,Micrococcus,SDS,1.47,2.6,0.39,443.57
BCW-200436,Pseudomonas,SDS,1.9,1,15.06,1297.55
BCW-200621,Pseudomonas,SDS,3.32,1.3,10.23,1161.55
BCW-201292,Pseudomonas,SDS,1.14,1,11.3,1136.73
BCW-200527,Pseudomonas,SDS,2.05,1,9.06,1086.69
BCW-200599,Pseudomonas,SDS,1.4,1.1,17.94,1065.44
BCW-201868,Pseudomonas,SDS,1.51,2.3,5.78,993.87
BCW-200528,Pseudomonas,SDS,2.06,1,8.4,942.21
BCW-200460,Pseudomonas,SDS,1.38,1.1,7.46,936.61
