bcw_id,Genus,Group,ACC,BNF,IAA,PO4
BCW-201024,Rahnella,DSN,1.96,1,0.05,791.12
BCW-200152,Rahnella,DSN,2.36,0.9,85.98,778.22
BCW-200561,Rahnella,DSN,2.21,1.2,24.25,766.87
BCW-200565,Rahnella,DSN,2.81,1.1,9.67,761.76
BCW-201648,Rahnella,DSN,2.41,1,11.48,756.19
BCW-200726,Rahnella,DSN,2.71,1.5,26.54,721.88
BCW-200213,Rahnella,DSN,1.24,1,6.97,695.54
BCW-201186,Rahnella,DSN,2.99,1,8.8,640.98
BCW-200545,Rahnella,DSN,2.09,1,7.1,565.44
BCW-200143,Rahnella,DSN,No Data,No Data,No Data,No Data
BCW-200144,Rahnella,DSN,No Data,0.8,No Data,No Data
BCW-200145,Rahnella,DSN,No Data,0.8,No Data,No Data
BCW-200564,Rahnella,DSN,No Data,1,No Data,No Data
BCW-200533,Rhodococcus,DSN,3.28,1.3,14.61,457.06
BCW-200544,Serratia,DSN,2.39,1,3.05,1581.8
BCW-201257,Serratia,DSN,2.94,1.1,18.8,1266.87
BCW-201153,Serratia,DSN,2.05,1.3,6.72,1208.59
BCW-201079,Serratia,DSN,1.92,1.1,44.61,1080.78
BCW-200327,Serratia,DSN,2.26,1,14.43,1023.42
BCW-200547,Serratia,DSN,1.32,1.1,6.01,1002.04
BCW-200114,Serratia,DSN,2.18,1.2,22.32,981.63
BCW-201085,Serratia,DSN,2.65,1.4,13.49,919.22
BCW-201809,Serratia,DSN,2.11,1.5,23.87,906.95
BCW-201350,Serratia,DSN,1.83,1,6.79,861.96
BCW-201662,Serratia,DSN,2.29,1,18.09,849.67
BCW-201054,Serratia,DSN,2.39,1,4.22,839.28
BCW-201238,Serratia,DSN,3.04,1,13.94,832.67
BCW-201185,Serratia,DSN,1.35,1.2,15.29,755.62
BCW-200061,Serratia,DSN,1.56,1,23.43,713.7
BCW-201653,Serratia,DSN,1.16,1,14.25,677.81
BCW-201051,Serratia,DSN,2.65,1,15.9,616.43
BCW-201835,Staphylococcus,DSN,1.65,1.2,2.54,63.83
BCW-201883,unassigned,DSN,1.14,1.3,15.01,1154.4
BCW-201090,unassigned,DSN,2.28,1.2,4.35,1002.04
BCW-200903,unassigned,DSN,2.11,1.1,7.18,937.63
BCW-200231,unassigned,DSN,0.85,0.9,14.58,923.88
BCW-201845,unassigned,DSN,1.06,1.1,15.32,904.91
BCW-200988,unassigned,DSN,2.27,1,14.68,896.73
BCW-200315,unassigned,DSN,1.92,1,6.49,892.16
BCW-200542,unassigned,DSN,1.58,1.1,13.51,757.13
BCW-200094,unassigned,DSN,0.94,1.1,11.09,720.86
BCW-200079,unassigned,DSN,1.18,0.6,-3.77,364.01
BCW-200063,unassigned,DSN,3.11,0.8,6.89,292.43
BCW-201891,unassigned,DSN,4.32,1.1,1.76,248.64
BCW-200912,unassigned,DSN,3.01,1.1,103.41,115.23
BCW-200669,Enterobacter,DSP,2.19,1.1,6.97,1165.64
BCW-200216,Enterobacter,DSP,2.27,1,9.56,946.19
BCW-200317,Enterobacter,DSP,2.63,1,20.38,936.54
BCW-201659,Enterobacter,DSP,1.04,1.2,3.38,920.52
BCW-200109,Enterobacter,DSP,2.32,1,57.09,909.45
BCW-200102,Enterobacter,DSP,2.58,1.1,17.38,902.89
BCW-200050,Enterobacter,DSP,2.02,1,5.86,866.05
BCW-200034,Enterobacter,DSP,2.25,1,7.51,839.47
BCW-200026,Enterobacter,DSP,2.25,0.9,8.78,834.36
BCW-200014,Enterobacter,DSP,2.15,1,17.84,821.06
BCW-201721,Enterobacter,DSP,2.4,1,7.18,738.24
BCW-200122,Enterobacter,DSP,2.3,0.9,23.56,721.78
BCW-200095,Enterobacter,DSP,2.11,1,11.58,698.36
BCW-200016,Enterobacter,DSP,2.38,1,6.23,685.07
BCW-200206,Enterobacter,DSP,3.14,1,13.88,683.73
BCW-200667,Enterobacter,DSP,1.57,1,3.72,641.1
BCW-200017,Enterobacter,DSP,2.12,1,23.43,623.72
BCW-200035,Enterobacter,DSP,2.38,1,9.69,615.54
BCW-201441,Klebsiella,DSP,3.31,1,14.66,1310.84
BCW-200129,Klebsiella,DSP,2.74,1,38.86,1199.48
BCW-200172,Klebsiella,DSP,2.35,0.9,36.97,1087.93
BCW-200167,Klebsiella,DSP,2.34,2.7,44.91,1053.81
BCW-200177,Klebsiella,DSP,2.54,0.9,40.63,1035.43
BCW-201019,Klebsiella,DSP,2.13,1.1,33.13,1017.38
BCW-200136,Klebsiella,DSP,2.79,0.8,43.6,1011.81
BCW-200123,Klebsiella,DSP,1.94,0.9,43.51,998.69
BCW-200124,Klebsiella,DSP,2.34,0.8,47.38,985.56
BCW-200086,Klebsiella,DSP,1.99,1,32.86,976.48
BCW-200093,Klebsiella,DSP,2.05,1,36.97,907.98
BCW-201021,Klebsiella,DSP,2.1,1,28.12,907.98
BCW-200083,Klebsiella,DSP,2.01,1,38.16,897.75
BCW-200137,Klebsiella,DSP,2.7,0.9,41,880.58
BCW-200099,Klebsiella,DSP,2.28,1,42.9,873.21
BCW-200651,Klebsiella,DSP,2.59,1,25.45,855.34
BCW-200096,Klebsiella,DSP,2.08,1,45.41,848.67
BCW-200084,Klebsiella,DSP,2.03,1,35.61,830.27
BCW-200069,Klebsiella,DSP,2.02,1,42.03,818
BCW-200132,Klebsiella,DSP,2.24,0.9,38.86,807.09
BCW-201263,Klebsiella,DSP,1.92,1.1,35.47,797.55
BCW-200049,Klebsiella,DSP,2.47,1,40.84,754.6
BCW-200053,Klebsiella,DSP,2.11,1,37.55,706.54
BCW-200662,Klebsiella,DSP,2.76,1.2,32.16,701.43
BCW-200660,Klebsiella,DSP,2.21,1,19.44,671.78
BCW-201020,Klebsiella,DSP,2.02,1,23.26,558.28
BCW-200183,Kosakonia,DSP,2.31,0.9,3.84,1325.46
BCW-200181,Kosakonia,DSP,1.67,4.6,10.59,992.13
BCW-200226,Kosakonia,DSP,1.97,1,5.98,784.78
BCW-200227,Kosakonia,DSP,2.12,1,5.78,732.28
BCW-200214,Kosakonia,DSP,2.09,0.9,3.88,729.66
BCW-200141,Kosakonia,DSP,2.41,1,3.14,709.97
BCW-200194,Kosakonia,DSP,2.48,0.9,6.77,703.41
BCW-200210,Kosakonia,DSP,2.08,No Data,12.44,702.1
