"","bcw_id","Genus","IAA","Group"
"150","BCW-200776","Klebsiella",5.72519083966667,"DSP"
"151","BCW-200237","unassigned",5.366255144,"DSP"
"152","BCW-200142","unassigned",5.07818930033333,"DSP"
"153","BCW-200828","unassigned",4.86005089066667,"DSP"
"154","BCW-200201","unassigned",4.54320987666667,"DSP"
"155","BCW-200195","unassigned",4.50205761333333,"DSP"
"156","BCW-200236","unassigned",4.502057613,"DSP"
"157","BCW-200892","unassigned",4.47837150133333,"DSP"
"158","BCW-200855","unassigned",4.45292620866667,"DSP"
"159","BCW-200727","unassigned",4.07124681933333,"DSP"
"160","BCW-201078","Klebsiella",3.96946564866667,"DSP"
"161","BCW-200600","Raoultella",3.893129771,"DSP"
"162","BCW-200214","Kosakonia",3.88477366266667,"DSP"
"163","BCW-200183","Kosakonia",3.843621399,"DSP"
"164","BCW-200667","Enterobacter",3.715012723,"DSP"
"165","BCW-200847","unassigned",3.61323155233333,"DSP"
"166","BCW-200909","unassigned",3.562340967,"DSP"
"167","BCW-200438","Raoultella",3.53689567433333,"DSP"
"168","BCW-200882","unassigned",3.38422391866667,"DSP"
"169","BCW-201315","Rahnella",3.38422391866667,"DSP"
"170","BCW-201659","Enterobacter",3.37931034466667,"DSP"
"171","BCW-200276","Klebsiella",3.231552163,"DSP"
"172","BCW-200141","Kosakonia",3.14403292166667,"DSP"
"173","BCW-200437","unassigned",3.10432569966667,"DSP"
"174","BCW-200496","unassigned",3.10432569966667,"DSP"
"175","BCW-201044","unassigned",3.002544529,"DSP"
"176","BCW-200874","unassigned",2.74809160333333,"DSP"
"177","BCW-201302","Rahnella",2.671755725,"DSP"
"178","BCW-201184","Rahnella",2.544529262,"DSP"
"179","BCW-200704","Klebsiella",2.086513995,"DSP"
"180","BCW-200117","unassigned",1.868312757,"DSP"
"181","BCW-200294","unassigned",1.73027989833333,"DSP"
"182","BCW-201615","Klebsiella",1.73027989833333,"DSP"
"183","BCW-200488","unassigned",1.50127226466667,"DSP"
"184","BCW-200578","Rahnella",1.017811705,"DSP"
"185","BCW-200881","unassigned",0.687022900666667,"DSP"
"186","BCW-200887","unassigned",0.559796437666667,"DSP"
"187","BCW-200880","unassigned",0.458015267,"DSP"
"188","BCW-200559","Rahnella",0.407124682,"DSP"
"189","BCW-200647","Rahnella",0.279898219,"DSP"
"190","BCW-201304","Rahnella",0.178117048666667,"DSP"
"191","BCW-200915","unassigned",0.0508905853333333,"DSP"
"192","BCW-200644","Rahnella",NA,"DSP"
"193","BCW-201259","Rahnella",NA,"DSP"
